Row ID,Order ID,Order Date,Ship Date,Customer Name,Segment,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
1,US-2022-102435,2022-02-06,"February 11, 2022",Amit King,Consumer,West,Office Supplies,Fasteners,Bostitch Staples Deluxe,20.01,3.0,0.0,13.95
2,US-2023-103040,2023-11-10,"November 16, 2023",Carlos Wright,Corporate,Central,Office Supplies,Art,Prismacolor Pencils Deluxe,67.94,6.0,0.15,36.32
3,US-2022-102226,02-Jun-2022,2022-06-07,Priya Lee,Corporate,East,Office Supplies,Paper,HP Premium Paper Deluxe,23.47,2.0,0.0,15.0
4,US-2023-100888,29/09/2023,03-Oct-2023,Grace Smith,Corporate,South,Office Supplies,Binders,Acco Binder Deluxe,50.78,2.0,0.0,29.5
5,US-2022-101978,01/31/2022,02/02/2022,Daniel Garcia,Corporate,East,Office Supplies,Labels,Sharpie Label Tape Value,7.07,1.0,0.2,4.37
6,US-2022-101129,14/09/2022,18-Sep-2022,Olivia Nair,Corporate,West,Furniture,Furnishings,Eldon Desk Lamp Pro,190.71,3.0,0.0,92.06
7,US-2024-100616,09-Jan-2024,2024-01-10,Noah Wilson,Consumer,South,Office Supplies,Art,Prismacolor Pencils Deluxe,53.94,4.0,0.0,28.47
8,US-2021-102588,2021-06-21,"June 23, 2021",Ethan Smith,Consumer,East,Furniture,Bookcases,Sauder Bookcase Value,203.82,1.0,0.2,10.53
9,US-2021-102422,05/02/2021,09-Feb-2021,Zoe Anderson,Corporate,East,Furniture,Bookcases,Bush Classic Bookcase Classic,745.4,2.0,0.0,190.52
10,US-2024-100992,20/10/2024,23-Oct-2024,James Kumar,Consumer,East,Office Supplies,Art,Prismacolor Pencils Pro,14.82,1.0,0.0,8.57
11,US-2022-102644,14-Apr-2022,2022-04-18,Carlos Nair,Consumer,South,Furniture,Tables,Bretford Conference Table Classic,132.92,1.0,0.3,-4.7
12,US-2024-100403,12/27/2024,28/12/2024,Mateo Davis,Corporate,South,Office Supplies,Fasteners,ACCO Fasteners Standard,6.0,2.0,0.0,4.3
13,US-2023-102911,14-Jul-2023,2023-07-17,Kavya Chen,Home Office,South,Furniture,Bookcases,Sauder Bookcase Standard,229.32,1.0,0.2,18.96
14,US-2023-102826,23-Mar-2023,2023-03-26,Ananya Martinez,Consumer,Central,Office Supplies,Supplies,Stanley Hole Punch Standard,5.5,1.0,0.7,-3.1
15,US-2021-102210,18/10/2021,21-Oct-2021,Amit Clark,Consumer,Central,Technology,Accessories,Logitech Mouse Deluxe,112.46,3.0,0.2,45.66
16,US-2021-101503,24/08/2021,29-Aug-2021,Laura Brown,Consumer,Central,Office Supplies,Storage,SAFCO Storage Bin Deluxe,144.84,2.0,0.3,25.06
17,US-2024-102681,20-Apr-2024,2024-04-22,Mateo Patel,Consumer,South,Furniture,Bookcases,Sauder Bookcase Deluxe,1126.38,5.0,0.1,230.35
18,US-2023-102807,2023-08-02,"August 06, 2023",Arjun Wilson,Home Office,Central,Office Supplies,Fasteners,ACCO Fasteners Standard,4.82,1.0,0.2,3.25
19,US-2021-103042,2021-06-26,"June 27, 2021",Grace Thomas,Consumer,South,Office Supplies,Art,Sharpie Marker Set Deluxe,24.14,2.0,0.4,7.55
20,US-2023-100550,07/24/2023,25/07/2023,Arjun Lee,Corporate,West,Furniture,Bookcases,Sauder Bookcase Standard,328.83,1.0,0.0,86.57
21,US-2021-100058,05/24/2021,29/05/2021,Yusuf Thomas,Consumer,West,Office Supplies,Labels,Avery Label Set Pro,9.41,2.0,0.5,3.24
22,US-2024-100786,2024-11-26,"November 29, 2024",Mia Garcia,Home Office,East,Office Supplies,Fasteners,ACCO Fasteners Classic,7.22,3.0,0.7,0.21
23,US-2021-102369,03/24/2021,25/03/2021,Lucas Clark,Home Office,East,Office Supplies,Storage,Fellowes File Cart Pro,96.4,2.0,0.4,3.38
24,US-2022-102602,02-Oct-2022,2022-10-06,Liam Chen,Consumer,West,Office Supplies,Fasteners,ACCO Fasteners Deluxe,15.1,2.0,0.2,9.31
25,US-2024-100100,"November 14, 2024",11/18/2024,Sofia Brown,Consumer,West,Technology,Machines,Zebra Label Printer Classic,712.87,1.0,0.1,111.64
26,US-2021-102306,13-Dec-2021,2021-12-16,Carlos Walker,Consumer,West,Office Supplies,Supplies,Elmer's Glue Pack Value,100.04,4.0,0.0,56.04
27,US-2024-103016,2024-11-05,"November 12, 2024",Priya Brown,Consumer,West,Office Supplies,Envelopes,Kraft Clasp Envelope Classic,30.18,3.0,0.0,19.12
28,US-2021-101605,"September 18, 2021",09/23/2021,Omar Walker,Consumer,West,Office Supplies,Fasteners,ACCO Fasteners Standard,22.13,4.0,0.3,12.48
29,US-2024-101693,15/05/2024,19-May-2024,Isabella Davis,Consumer,East,Technology,Accessories,Belkin Cable Pro,126.45,3.0,0.15,50.44
30,US-2024-103117,2024-12-12,"December 18, 2024",Arjun Lee,Consumer,South,Office Supplies,Art,Sharpie Marker Set Deluxe,41.18,3.0,,21.74
31,US-2022-101215,19/06/2022,22-Jun-2022,James Anderson,Home Office,South,Office Supplies,Art,Prismacolor Pencils Standard,10.98,1.0,0.15,5.39
32,US-2021-101276,07-Oct-2021,2021-10-14,Hannah Nair,Consumer,East,Furniture,Bookcases,Sauder Bookcase Value,74.05,1.0,0.0,19.69
33,US-2021-100193,"December 29, 2021",12/31/2021,Nina Nair,Corporate,West,Office Supplies,Fasteners,Bostitch Staples Value,18.99,3.0,0.2,11.48
34,US-2024-101922,13/01/2024,20-Jan-2024,Daniel Clark,Home Office,East,Furniture,Furnishings,Tenex Chairmat Classic,152.97,2.0,0.0,67.76
35,US-2021-102405,2021-11-12,"November 15, 2021",Yusuf Rodriguez,Corporate,Central,Office Supplies,Envelopes,Kraft Clasp Envelope Pro,30.43,2.0,0.0,19.21
36,US-2024-102847,17-Sep-2024,2024-09-21,Wei Garcia,Consumer,East,Office Supplies,Paper,Boise Copy Paper Classic,,3.0,0.4,11.19
37,US-2021-103151,"July 26, 2021",07/31/2021,Maria Kumar,Consumer,Central,Office Supplies,Appliances,Hoover Vacuum Pro,166.47,1.0,0.0,68.47
38,US-2021-101700,27/11/2021,30-Nov-2021,Kenji Martinez,Corporate,Central,Office Supplies,Labels,Sharpie Label Tape Deluxe,7.9,1.0,0.0,5.0
39,US-2022-102290,08-Oct-2022,2022-10-11,Amit Rodriguez,Consumer,East,Technology,Phones,Apple iPhone Accessory Standard,576.61,2.0,0.0,181.03
40,US-2023-102758,03/06/2023,10-Jun-2023,Hannah Kumar,Consumer,Central,Furniture,Bookcases,O'Sullivan Bookcase Value,1105.95,4.0,0.1,222.04
41,US-2024-100922,"December 12, 2024",12/14/2024,Grace Smith,Home Office,East,Office Supplies,Supplies,Stanley Hole Punch Pro,110.64,4.0,0.0,58.79
42,US-2023-100626,10/02/2023,14-Feb-2023,Kenji Davis,Consumer,East,Technology,Phones,Cisco IP Phone Deluxe,1609.89,4.0,0.0,450.31
43,US-2024-102744,"July 20, 2024",07/27/2024,Chloe Smith,Consumer,West,Technology,Phones,Samsung Galaxy Dock Deluxe,301.04,3.0,0.6,-231.68
44,US-2024-101293,"September 24, 2024",10/01/2024,Ravi Lee,Home Office,South,Office Supplies,Appliances,Hoover Vacuum Classic,120.33,1.0,0.0,52.12
45,US-2021-100820,06/28/2021,30/06/2021,Mateo Rodriguez,Consumer,Central,Furniture,Bookcases,Sauder Bookcase Value,1476.37,4.0,0.0,366.76
